Country,Year,Energy_in_kt,Industrial_processes_and_product_use_in_kt,Agriculture_in_kt,LULUCF_in_kt,Waste_in_kt,Other_in_kt,Total_CH4_without_Agriculture_in_kt,Total_CH4_in_kt
USA,1990,14606.5237190366,2.506649208,8632.9443118368,1897.97651005725,7888.69762407923,,24395.704502381,33028.6488142178
USA,1991,14690.59606668,1.999027068,8728.00923952121,1864.85256589414,7995.30325524759,,24552.7509148898,33280.760154411
USA,1992,14486.5569093481,2.157048632,8845.30956149624,1802.29095894728,8001.03490371406,,24292.0398206414,33137.3493821376
USA,1993,13943.7369943609,2.0611049,9015.01103017928,1809.5100764503,7926.77983868911,,23682.0880144003,32697.0990445796
USA,1994,14053.206826644,2.232456512,9207.4436904803,1878.95826957622,7930.04086308879,,23864.438415821,33071.8821063013
USA,1995,13760.78310025,2.153683616,9446.7150859082,1788.62680110668,7739.85012742344,,23291.4137123962,32738.1287983044
USA,1996,13773.4753217632,2.209260688,9397.46106840713,1851.82628422274,7603.20718688821,,23230.7180535622,32628.1791219693
USA,1997,13776.693233732,2.144436496,9268.40043024646,1776.10484827729,7235.6803364818,,22790.6228549871,32059.0232852335
USA,1998,13554.737008969,2.083265424,9420.26713113684,1803.7152257176,6861.39428093155,,22221.9297810421,31642.196912179
USA,1999,13148.1646229984,2.028769888,9378.18480198217,1875.90410628184,6607.78729880719,,21633.8847979754,31012.0695999576
USA,2000,13211.6936110796,1.942234752,9436.95929223487,1990.62668242462,6481.61360219121,,21685.8761304474,31122.8354226823
USA,2001,13192.1796506743,1.670200592,9330.43812741663,1838.50353855031,6300.14447586537,,21332.497865682,30662.9359930986
USA,2002,12896.1452512012,1.582723136,9463.36673916922,2073.44132816837,6249.31076968229,,21220.4800721878,30683.846811357
USA,2003,12906.867168905,1.658808528,9357.26879895144,1967.11817676073,6345.95363527498,,21221.5977894687,30578.8665884202
USA,2004,13038.1193939572,1.63941984,9155.39226485694,2253.82399085984,6248.90741168645,,21542.4902163435,30697.8824812005
USA,2005,12804.0322015001,1.605339664,9443.78583313096,2090.60385629914,6158.76166372143,,21055.0030611847,30498.7888943157
USA,2006,13272.6606535487,1.573288832,9463.91914578927,1946.07620960936,6070.62799791944,,21290.9381499095,30754.8572956987
USA,2007,13174.7299589899,1.582331104,9775.61348205953,2036.42488194773,5985.75070015732,,21198.487872199,30974.1013542585
USA,2008,13833.7675311351,1.518760128,9606.35453233167,1911.30764306773,5900.58051048683,,21647.1744448177,31253.5289771493
USA,2009,13381.1727817901,1.257507416,9636.65509889572,1990.17368348405,5794.34200272949,,21166.9459754197,30803.6010743154
USA,2010,13300.1725531597,1.436593936,9718.9567649384,1815.75916300841,5822.24488969622,,20939.6131998003,30658.5699647387
USA,2011,12733.9531833976,1.48656440425688,9566.77679656768,1914.04475956515,5493.80058529526,,20143.2850926623,29710.0618892299
USA,2012,12228.9750581178,1.55302741622018,9499.63914691048,1971.62550184316,5557.81914079641,,19759.9727281736,29259.611875084
USA,2013,12565.6060411704,1.47896289306422,9380.0419514329,1984.52107624353,5417.35207617843,,19968.9581564854,29349.0001079183
USA,2014,12548.0110969545,1.54018223574312,9271.26960122613,1847.1224200557,5407.44544535478,,19804.1191446008,29075.3887458269
USA,2015,12326.9929570962,1.48827760484404,9605.36959875501,2273.90719208302,5365.67149106608,,19968.0599178502,29573.4295166052
USA,2016,11455.1245561916,1.37674128278899,9909.93663433833,1854.77961688818,5226.08077689465,,18537.3616912573,28447.2983255956
USA,2017,11880.644349939,1.43956494047706,9960.07716408485,2058.8020754468,5282.12731996677,,19223.013310293,29183.0904743779
USA,2018,12006.9671653639,1.52567690436697,10179.0097992179,1983.00475711503,5365.39259927538,,19356.8901986587,29535.8999978766
USA,2019,11489.9985327346,1.33811617555963,10008.1354410762,1874.69476562894,5441.28287927362,,18807.3142938127,28815.449734889
USA,2020,10903.134596788,1.20679721912911,10086.7722505586,2118.04419799571,5271.34465809081,,18293.7302500937,28380.5025006523
USA,2021,10475.5918727458,1.29062230946279,10065.6037379852,2218.41999015142,5188.51921314721,,17883.8216983539,27949.4254363392
USA,2022,10084.3941806582,1.28207808119489,9885.3603918992,2087.12328489927,5113.0613846848,,17285.8609283234,27171.2213202226
