Country,Year,Agriculture_in_kt,Enteric_fermentation_in_kt,Manure_management_in_kt,Rice_cultivation_in_kt,Agriculture_soils_in_kt,Prescribed_burning_of_savannahs_in_kt,Field_burning_of_agricultural_residues_in_kt,Liming_in_kt,Urea_application_in_kt,Other_carbon_containing_fertilizers_in_kt,Other_in_kt,Agriculture_without_EntFer_in_kt
NZL,1990,1139.71553283597,1109.75679582679,29.0538487911644,,,,0.904888218012515,,,,,29.958737009177
NZL,1991,1147.56971341328,1117.00067064489,29.7700240172909,,,,0.7990187510948,,,,,30.5690427683858
NZL,1992,1130.05459751114,1099.30635201224,29.9913574893992,,,,0.756888009499587,,,,,30.7482454988988
NZL,1993,1130.35949974847,1098.7649358085,30.7206848743876,,,,0.873879065579563,,,,,31.5945639399672
NZL,1994,1177.46370421344,1144.30740314697,32.2352566430234,,,,0.921044423442957,,,,,33.1563010664663
NZL,1995,1190.67815023357,1156.38683969487,33.4906663990758,,,,0.800644139625749,,,,,34.2913105387015
NZL,1996,1212.63794414633,1176.86042095402,34.8535471341418,,,,0.923976058170725,,,,,35.7775231923124
NZL,1997,1233.6245113224,1196.75506111442,35.8166692569724,,,,1.0527809510003,,,,,36.8694502079727
NZL,1998,1206.32850196431,1170.16713869853,35.2174738631104,,,,0.943889402663108,,,,,36.1613632657736
NZL,1999,1201.36118010128,1165.14489161309,35.2766519792401,,,,0.939636508941596,,,,,36.2162884881818
NZL,2000,1238.48830971572,1200.35184607439,37.2003015025537,,,,0.936162138783723,,,,,38.1364636413373
NZL,2001,1246.97749154639,1207.21855983069,38.7196991310214,,,,1.03923258467856,,,,,39.7589317156999
NZL,2002,1239.438335821,1198.90210665711,39.5096494853969,,,,1.02657967849141,,,,,40.5362291638883
NZL,2003,1261.25098816017,1219.2088897727,41.0613410945427,,,,0.980757292924216,,,,,42.0420983874669
NZL,2004,1267.63466901847,1225.49833094127,41.406295674384,,,,0.730042402817172,,,,,42.1363380772011
NZL,2005,1271.1354270184,1228.76068994725,41.499673344431,,,,0.875063726713817,,,,,42.3747370711449
NZL,2006,1273.64531722869,1230.44067296655,42.376501347557,,,,0.828142914584177,,,,,43.2046442621411
NZL,2007,1238.1642451021,1195.10707070579,42.0278922458239,,,,1.02928215049243,,,,,43.0571743963164
NZL,2008,1206.74226555899,1162.77107842189,43.1215271883267,,,,0.849659948771415,,,,,43.9711871370982
NZL,2009,1203.92063489022,1158.1328914703,44.9519335812877,,,,0.835809838629839,,,,,45.7877434199174
NZL,2010,1204.29108536711,1156.98499140003,46.3466569794004,,,,0.959436987682444,,,,,47.3060939670829
NZL,2011,1216.67056210308,1167.00644211873,49.0117457905878,,,,0.652374193763968,,,,,49.6641199843518
NZL,2012,1249.1161832314,1197.28861189257,50.7867342509714,,,,1.04083708785654,,,,,51.827571338828
NZL,2013,1249.7995539817,1195.68871311596,53.0352410847648,,,,1.07559978097103,,,,,54.1108408657358
NZL,2014,1258.4080366185,1201.28027687784,56.2307611388243,,,,0.896998601840875,,,,,57.127759740665
NZL,2015,1245.58986699645,1187.48168899543,57.4977449981299,,,,0.610433002892676,,,,,58.1081780010227
NZL,2016,1230.55438687709,1171.98156774036,57.7762290683545,,,,0.796590068374693,,,,,58.5728191367291
NZL,2017,1233.82547793758,1175.3947946749,57.658324168796,,,,0.772359093887615,,,,,58.4306832626837
NZL,2018,1239.16467200909,1180.54808482187,57.9904978118068,,,,0.626089375412472,,,,,58.6165871872192
NZL,2019,1246.13695075985,1187.07375330361,58.2621406439987,,,,0.801056812248406,,,,,59.0631974562471
NZL,2020,1242.05447468167,1182.29774772123,58.9577415867821,,,,0.798985373657971,,,,,59.7567269604401
NZL,2021,1242.93506230944,1183.18055912614,59.0059116995126,,,,0.748591483780437,,,,,59.7545031832931
NZL,2022,1213.74193120046,1155.25516233209,57.8554712681186,,,,0.631297600254533,,,,,58.4867688683733
NZL,2023,1191.08092636814,1133.26830687729,57.2623742796369,,,,0.550245211220306,,,,,57.8126194908571
NZL,2024,1186.37727628984,1128.15404087326,57.6011479637635,,,,0.62208745281185,,,,,58.2232354165753
