"Animal","Year","Population_size_1000s","ø_GE_MJ_per_head_per_day","Ym_in_percent","CH4_emission_in_kg_CH4_per_head_per_year","Ch4_emission_in_kt","Weight_kg","Milk_yield_kg_per_day","Work_h_per_day","Pregnant_in_percent","Digestibility_of_feed_in_percent"
"Dairy cattle",2002,4427.4,296.3848571,6.73202985,130.663794400777,578.50088333,596.0642322,17.99107294,NA,76.12545286,75.7052078
"Non-dairy cattle",2002,9561.0979996,106.9616567,6.52056081,45.8226816039674,438.11514942,337.5323842,NA,NA,60.61374327,74.14664649
"Cattle",2003,13644.5980002,169.291072539024,6.57567943503134,73.4757159833734,1002.54660737,418.965351130465,18.64703669,NA,66.0561181168492,74.6870050359361
"Dairy cattle",2003,4371.958,302.0002683,6.68812083,132.314429900745,578.47313032,592.7890119,18.64703669,NA,77.08086763,75.79320782
"Non-dairy cattle",2003,9272.6400002,106.72,6.52266443,45.733844626865,424.07347705,337.0092152,NA,NA,60.85805782,74.16544137
"Cattle",2004,13197.0310004,170.28397586801,6.57379359592646,73.8403695134507,974.47364555,418.112846518694,18.8316802,NA,66.1751837889442,74.707443916358
"Dairy cattle",2004,4285.122,303.4826172,6.67426205,132.68293089905,568.56254622,590.026007,18.8316802,NA,77.95614328,75.8318662
"Non-dairy cattle",2004,8911.9090004,106.2379417,6.52548525,45.5470426495357,405.91109933,335.4516719,NA,NA,60.51053341,74.16678684
"Cattle",2005,13036.8089999,171.418616111016,6.56571046885744,74.2055147250696,967.40312221,418.564945199631,19.1886536,NA,65.9416954799761,74.7639560744699
"Dairy cattle",2005,4236.394,305.9877311,6.65715857,133.431282999173,565.26748671,592.3456425,19.1886536,NA,77.9454479,75.86783113
"Non-dairy cattle",2005,8800.4149999,106.6389675,6.52168866,45.6950763690769,402.1356355,334.9094013,NA,NA,60.16326063,74.2325664
"Cattle",2006,12750.2460003,172.092172844326,6.5560677453156,74.2612460597013,946.84915555,419.196520338037,19.59520013,NA,65.5211507314393,74.7258279090678
"Dairy cattle",2006,4081.794,309.0982971,6.61851345,134.003345399106,546.97405123,591.8171526,19.59520013,NA,77.75673064,75.87833198
"Non-dairy cattle",2006,8668.4520003,107.5788346,6.52666336,46.129932346186,399.87510432,337.91305,NA,NA,59.75967029,74.18313768
"Cattle",2007,12688.1889997,174.128341139435,6.53988735614885,74.8438129824873,949.63244458,421.503773799228,19.93296329,NA,66.0932389098799,74.6988444912822
"Dairy cattle",2007,4071.199,312.8411541,6.57530007,134.75357290076,548.60861124,593.9189185,19.93296329,NA,79.45118192,75.89565684
"Non-dairy cattle",2007,8616.9899997,108.5918295,6.5231562,46.5387372335307,401.02383334,340.0441963,NA,NA,59.7821205,74.13339632
"Cattle",2008,12971.4690002,172.064537850549,6.54193606705626,74.0280255493957,960.25223856,417.738074985157,19.40592935,NA,65.6852532210599,74.7094631628788
"Dairy cattle",2008,4217.711,306.8215346,6.59033392,132.436664000924,558.57957456,589.6332892,19.40592935,NA,79.05744535,75.79259941
"Non-dairy cattle",2008,8753.7580002,107.1363016,6.51861715,45.8857400433988,401.672664,334.9160075,NA,NA,59.24230131,74.18758951
"Cattle",2009,12947.0150001,173.442632012649,6.52355873260344,74.2690220751712,961.56214285,417.811585608473,19.83130385,NA,65.1111222257161,74.6918814223225
"Dairy cattle",2009,4205.493,310.5019635,6.54005136,132.986226499485,559.27264464,588.410473,19.83130385,NA,78.48222111,75.82604093
"Non-dairy cattle",2009,8741.5220001,107.5042223,6.51562423,46.0205326035212,402.28949821,335.7374998,NA,NA,58.67836798,74.14624419
"Cattle",2010,12811.8549997,175.646360312317,6.50217382420307,74.8441343929082,958.89219742,420.495920174337,20.23150679,NA,64.941003970905,74.678022412364
"Dairy cattle",2010,4183.111,315.0021394,6.49054974,133.899630899108,560.11701891,592.5723005,20.23150679,NA,78.21195971,75.83710722
"Non-dairy cattle",2010,8628.7439997,108.0883597,6.50780904,46.2147420903743,398.77517851,337.0753668,NA,NA,58.50740472,74.11611208
"Cattle",2011,12530.5190002,178.039598011351,6.48290008583919,75.5552918306807,946.74701985,420.665758294342,20.68152242,NA,65.195505370245,74.7046124715586
"Dairy cattle",2011,4190.103,318.1412808,6.45109531,134.447259100791,563.3478637,592.3207188,20.68152242,NA,78.51168298,75.83065975
"Non-dairy cattle",2011,8340.4160002,107.6545619,6.49887834,45.9688289098297,383.39915615,334.428817,NA,NA,58.50565252,74.13890279
"Cattle",2012,12509.6040003,178.786166222931,6.46828734156236,75.6313030418318,946.11765108,418.992538666758,20.91150116,NA,64.8967759557301,74.7040580563147
"Dairy cattle",2012,4190.485,320.1503502,6.42073324,134.675121600483,564.35407694,588.9641881,20.91150116,NA,78.68016413,75.8059017
"Non-dairy cattle",2012,8319.1190003,107.5785669,6.49224117,45.8899042225785,381.76357414,333.3748612,NA,NA,57.95384349,74.14904024
"Cattle",2013,12685.9929998,179.086976762174,6.45965815339999,75.6267083495258,959.39989272,419.221185641552,20.96840622,NA,64.8172244769257,74.6680642134899
"Dairy cattle",2013,4267.611,319.7564744,6.40621542,134.198535400719,572.70714586,586.4582537,20.96840622,NA,78.63404167,75.75207647
"Non-dairy cattle",2013,8418.3819998,107.7760413,6.48675039,45.9343311896736,386.69274686,334.4420973,NA,NA,57.81293303,74.1185355
"Cattle",2014,12742.1939996,180.517341977128,6.44417881882994,75.9386562392925,967.62508987,418.516560397794,21.5334882,NA,64.857724828454,74.6411032432495
"Dairy cattle",2014,4295.68,323.8369691,6.36767855,135.108602000149,580.38331944,584.9425029,21.5334882,NA,79.05778021,75.74680081
"Non-dairy cattle",2014,8446.5139996,107.628662,6.48308489,45.8463421061444,387.24177043,333.8766021,NA,NA,57.63594151,74.07877387
"Cattle",2015,12635.4560004,181.848411718602,6.44620028376051,76.4829603355357,966.3970801,420.870432301735,21.62470078,NA,64.6994797592019,74.6305141081909
"Dairy cattle",2015,4284.639,325.4080832,6.36199722,135.64282430095,581.18053507,587.6892264,21.62470078,NA,79.03213965,75.75306216
"Non-dairy cattle",2015,8350.8170004,108.1907843,6.48940321,46.1292044852077,385.21654503,335.2790092,NA,NA,57.34567551,74.05455691
"Cattle",2016,12466.5869997,182.864408428373,6.43668098260619,76.7358225016214,956.63380721,419.747921760857,21.96224226,NA,64.6678149709558,74.6529428274615
"Dairy cattle",2016,4217.7,328.9860418,6.3419739,136.687666899021,576.50757268,584.4028753,21.96224226,NA,79.05488494,75.80310835
"Non-dairy cattle",2016,8248.8869997,108.1516365,6.48510522,46.0821241149048,380.12623453,335.5589642,NA,NA,57.31162922,74.06485705
"Cattle",2017,12281.1940003,183.992412515115,6.43569837648834,77.2045199153143,948.16368678,421.983774372427,22.00777298,NA,64.7931883693377,74.6524229084626
"Dairy cattle",2017,4199.01,329.1426178,6.3418618,136.766037399292,574.2819587,587.2603127,22.00777298,NA,79.03708953,75.78354061
"Non-dairy cattle",2017,8082.1840003,108.5812163,6.48445014,46.2599871601688,373.88172808,336.1161627,NA,NA,57.39292584,74.06476312
"Cattle",2018,11949.0949996,187.000140560117,6.42188509818323,78.1442478900082,933.75304171,423.71526022603,22.87253241,NA,64.8263445031295,74.6764824157302
"Dairy cattle",2018,4100.863,336.2113189,6.29930861,138.775053099799,569.09748058,588.3558183,22.87253241,NA,79.03147033,75.87120291
"Non-dairy cattle",2018,7848.2319996,109.0342241,6.48593384,46.4634023495464,364.65556113,337.6871748,NA,NA,57.40387344,74.05221633
"Cattle",2019,11639.5320002,190.554931581132,6.40774015572957,79.2990180124201,923.00345774,428.374640887409,23.36907294,NA,64.8474850246904,74.7076533490263
"Dairy cattle",2019,4011.674,343.6576804,6.26008881,140.930829499107,565.3685445,595.4859863,23.36907294,NA,79.03022636,75.96102055
"Non-dairy cattle",2019,7627.8580002,110.0345133,6.48539355,46.8853658826138,357.63491324,340.4867647,NA,NA,57.38844021,74.04847739
"Cattle",2020,11301.8599999,193.744329767434,6.39681190877066,80.346762746843,908.06786401,432.112042524614,23.9601732,NA,64.7248553585219,74.7303587511115
"Dairy cattle",2020,3921.41,349.6069577,6.22641088,142.579207399889,559.11152969,601.3206105,23.9601732,NA,79.03337825,76.04631122
"Non-dairy cattle",2020,7380.4499999,110.9307794,6.48735006,47.2811731431997,348.95633432,342.2074743,NA,NA,57.12239416,74.03116166
"Cattle",2021,11039.6639999,194.689385013917,6.3942451731765,80.6919433243683,890.8119418,433.444784032134,24.0361846,NA,64.6153806772345,74.7312539866064
"Dairy cattle",2021,3832.716,350.8188432,6.22102716,142.948118900539,547.87954248,603.4455965,24.0361846,NA,79.04873834,76.05996401
"Non-dairy cattle",2021,7206.9479999,111.6584165,6.48636398,47.5835817498279,342.93239932,343.0369118,NA,NA,56.9395988,74.02463474
"Cattle",2022,10996.961,193.391569408422,6.40146955896084,80.2976900045385,883.03056537,432.651802186146,23.99820183,NA,64.4971844400553,74.7075198220474
"Dairy cattle",2022,3809.717,347.8038206,6.23749378,142.081769299399,541.29133189,600.122273,23.99820183,NA,79.04256335,76.02396197
"Non-dairy cattle",2022,7187.244,111.5428137,6.48838762,47.5480216728415,341.73923348,343.8813222,NA,NA,56.7871669,74.00971799
"Cattle",2023,10836.1959995,196.862847257799,6.38718533185704,81.2692852307798,880.6499035,434.423440398277,25.09827632,NA,64.7434766719095,74.7152446753725
"Dairy cattle",2023,3712.815,359.4240599,6.17217295,145.332508099649,539.59271606,603.801932,25.09827632,NA,79.05830907,76.19530917
"Non-dairy cattle",2023,7123.3809995,112.1334598,6.49925307,47.878554785142,341.05718744,346.140783,NA,NA,57.28236734,73.94381245
"Cattle",2024,10461.2850002,199.57196187945,6.38090990480371,82.123680470762,859.11922667,435.874214962186,25.87755156,NA,64.9508382234989,74.7202940466204
"Dairy cattle",2024,3589.431,365.9821575,6.13742843,147.139046999371,528.14545661,604.9502164,25.87755156,NA,79.10160457,76.29516577
"Non-dairy cattle",2024,6871.8540002,112.6495804,6.50808955,48.1636789795545,330.97377006,347.5593816,NA,NA,57.55935415,73.89767858
