"Year","Animal","ø_GE_MJ_per_head_per_day","Ym_in_percent","CH4_emission_in_kg_CH4_per_head_per_year","Weight_kg","Digestibility_of_feed_in_percent","Population_size_1000s","Ch4_emission_in_kt","Milk_yield_kg_per_day","Pregnant_in_percent"
2001,"Dairy cattle",221.693688840796,6.23312559170227,82.6068853975706,471.80883187354,65.9348781429328,17926.5809741059,1480.85902009824,22.5554942966378,0.34074273330889
2001,"Non-dairy cattle",149.671399935051,6.092070095731,59.5478266579004,415.512625062883,66.081829015326,84237.2328742385,5016.14414133635,3.55976140796516,0.275353891724208
2002,"Cattle",162.968343477122,6.10730194878846,63.7201952802424,426.41460626525,66.0935261630431,102092.757209596,6505.37042609381,26.6692923689896,0.284796738228039
2002,"Dairy cattle",224.157832978635,6.21951933766818,83.2836297551587,471.705987908114,65.931817323697,17832.9470134924,1485.19255651506,23.1095309610244,0.340063232140585
2002,"Non-dairy cattle",150.018054109943,6.08355199320195,59.5797433900571,416.829030329044,66.12775060714,84259.8101961033,5020.17786957876,3.55976140796516,0.273100005761278
2003,"Cattle",164.670526323127,6.09217000965229,64.2878043125324,432.802470871866,66.1645073675868,101279.540370337,6511.03927219147,26.8558675118456,0.286289550130029
2003,"Dairy cattle",224.622187965698,6.20976560929247,83.22281283851,471.646897107357,65.9305254384641,17918.7594908953,1491.24956740905,23.2961061038804,0.339776433915169
2003,"Non-dairy cattle",151.783658005442,6.06689232817055,60.2176425391472,424.452693867231,66.2148027927128,83360.780879442,5019.78970478242,3.55976140796516,0.274792313703592
2004,"Cattle",164.443045025455,6.09777372231153,64.2740198983042,434.966083571416,66.2355009650104,99314.7946386389,6383.36108679987,27.1061554056306,0.287758364239534
2004,"Dairy cattle",222.182615474878,6.1952651694507,82.0722118120013,471.30163193276,66.6282841743538,17642.3099397161,1447.94339822536,23.5463939976654,0.339279551286259
2004,"Non-dairy cattle",151.970553201434,6.07671431248408,60.4293809202502,427.117136543742,66.1506547264774,81672.4846989228,4935.41768857452,3.55976140796516,0.276629123422493
2005,"Cattle",165.425924557227,6.09344813170701,64.6044755661951,436.48626401573,66.2446643368426,99986.2378634689,6459.55846100625,27.8390146628657,0.286926505217392
2005,"Dairy cattle",224.686879262109,6.18302889486947,82.8045171098538,470.728988162767,66.6180008882528,17793.4431946766,1473.37747145681,24.2792532549005,0.336996664130413
2005,"Non-dairy cattle",152.596862892483,6.07405530990201,60.6644537351719,429.073254525099,66.1638428640264,82192.7946687924,4986.18098954943,3.55976140796516,0.276087105827733
2006,"Cattle",166.554595439122,6.06988683451968,64.8000620131325,440.385044772329,66.383232098098,101341.021654928,6566.90448771353,28.2671715583202,0.283943098067245
2006,"Dairy cattle",226.559870854871,6.17035264708805,83.2876196974796,470.690464380798,66.6107955198104,18077.6693365023,1505.64604871539,24.707410150355,0.335397073988804
2006,"Non-dairy cattle",153.526588552453,6.04807426405905,60.7861477837485,433.805303030839,66.3338248117439,83263.3523184256,5061.25843899814,3.55976140796516,0.272771701085761
2007,"Cattle",169.007099565819,6.10697266288617,66.084175075974,442.011397541405,66.0516462496746,100990.442357579,6673.87007375831,28.6506493893354,0.284795602718157
2007,"Dairy cattle",235.496235765883,6.15920269736417,86.3579707640914,470.435930414743,65.1081694380682,18189.9240790303,1570.84493181794,25.0908879813702,0.33481376687113
2007,"Non-dairy cattle",154.400520226656,6.09549857574817,61.6303526600319,435.766991036502,66.2589127249365,82800.5182785487,5103.02514194037,3.55976140796516,0.27380742743338
2008,"Cattle",169.972783931759,6.11681038776273,66.5249247160399,443.739624492113,66.0232733664355,99954.0161817038,6649.43340155368,28.8904531597802,0.287041215010746
2008,"Dairy cattle",236.026369550866,6.15293579493991,86.3974588785207,470.50643521029,65.2074579107589,18422.4170494047,1591.6500194689,25.330691751815,0.33465543546574
2008,"Non-dairy cattle",155.047690902378,6.10864769594532,62.0346397704975,437.691547974779,66.207610393058,81531.5991322991,5057.78338208478,3.55976140796516,0.276282576200279
2009,"Cattle",170.054300779511,6.11607386059456,66.494776080564,443.700776384803,66.0215672625492,99553.9000952521,6619.81429478062,29.0940325819979,0.284232349239219
2009,"Dairy cattle",236.874091192307,6.14478641685998,86.5487409097432,470.511473958467,65.2084961071029,18560.4843814227,1606.3865538871,25.5342711740327,0.334885915273917
2009,"Non-dairy cattle",154.741850188358,6.10949407941829,61.8992012709684,437.556825926789,66.207890982183,80993.4157138293,5013.42774089353,3.55976140796516,0.27262455726052
2010,"Cattle",170.021200438929,6.10543100509652,66.3773138688964,442.506588162621,66.0781382392134,98781.7885555923,6556.8697834855,29.8154093208575,0.282305270614796
2010,"Dairy cattle",238.842609608564,6.12997512036377,87.0899176194787,469.879218399146,65.1897990712969,18297.4462969609,1593.52309064916,26.2556479128923,0.33073516936651
2010,"Non-dairy cattle",154.375225047641,6.09985110447976,61.6684755512686,436.283648175736,66.2800947659402,80484.3422586313,4963.34669283635,3.55976140796516,0.271295135640602
2011,"Cattle",170.786212319152,6.08796911424628,66.4532746370077,442.787603977929,66.1891307526119,97379.0193057095,6471.15471380479,30.0545271245651,0.283083876758489
2011,"Dairy cattle",240.551353454711,6.12610957048768,87.6069820477154,469.719477192477,65.1893733823673,18441.8621811029,1615.63588902632,26.4947657165999,0.330640666334019
2011,"Non-dairy cattle",154.487181992583,6.07905846857382,61.5111944950559,436.495587490464,66.4227012067327,78937.1571246066,4855.51882477846,3.55976140796516,0.271973320069157
2012,"Cattle",172.315165678413,6.08348966216156,66.918584860248,444.537544477429,66.1959018572351,95444.2795843382,6386.99612278977,30.5353467326081,0.284790483708155
2012,"Dairy cattle",242.780890478708,6.12104243023662,88.2645301248553,469.698734349111,65.1906625002034,18586.7148155314,1640.54764975756,26.9755853246429,0.330926850766562
2012,"Non-dairy cattle",155.274210307623,6.07440815414287,61.7564255035906,438.452732110929,66.4390021598103,76857.5647688068,4746.4484730322,3.55976140796516,0.273633176034944
2013,"Cattle",173.1013292052,6.07919408813677,67.1441524756086,445.557221916149,66.2177137414369,94514.9760518977,6346.12796325711,30.6565701767612,0.282709240018513
2013,"Dairy cattle",244.050629039719,6.11625785333924,88.5936133418979,469.802407807794,65.1949015130877,18505.3118069965,1639.4524390003,27.096808768796,0.331867912524343
2013,"Non-dairy cattle",155.828013647646,6.07017054437261,61.9220670294243,439.654489293914,66.4667275924207,76009.6642449012,4706.67552425681,3.55976140796516,0.270741070289367
2014,"Cattle",173.33876199283,6.07447265480762,67.1275214907821,445.198574796223,66.249660540907,93482.2964865342,6275.23486640749,31.545701229543,0.280728527072292
2014,"Dairy cattle",245.891758302958,6.10928171563081,89.1625049097827,469.651525080398,65.1919503254968,18516.5807545852,1650.98472244309,27.9859398215778,0.331212748254362
2014,"Non-dairy cattle",155.418124511461,6.06587479404647,61.6848661926885,439.158680102977,66.5109156550264,74965.715731949,4624.2501439644,3.55976140796516,0.268258891463227
