Country,Year,Energy_in_kt,Industrial_processes_and_product_use_in_kt,Agriculture_in_kt,LULUCF_in_kt,Waste_in_kt,Other_in_kt,Total_CH4_without_Agriculture_in_kt,Total_CH4_in_kt,total_CH4_wo_Cat_EnterFe_in_kt,share_total_of_Cat_enterfe_in_procent,share_agric_of_Cat_enterfe_in_procent
NZL,1990,47.4754748183975,1.104,1139.71553283597,2.79249666660069,108.713996401635,0.0713592475728055,160.157327134206,1299.87285997017,786.975468130691,39.4575044709564,45.0022288073261
NZL,1991,46.4094869895558,1.886,1147.56971341328,1.96318709821111,111.965084985827,0.0754566167675237,162.299215690362,1309.86892910364,777.029425779325,40.6788413317769,46.431994248041
NZL,1992,44.5678114708256,1.5985,1130.05459751114,2.33788612768061,115.098363111567,0.0734700004502978,163.676030710524,1293.73062822167,750.670261788484,41.9763090234374,48.0561176096479
NZL,1993,47.3428322725048,1.794,1130.35949974847,2.96870779679441,118.155552136843,0.0714917992872623,170.332584005429,1300.6920837539,738.488731755584,43.2234007587524,49.7366857290463
NZL,1994,50.2683146191786,2.2494,1177.46370421344,3.23387914106987,117.29571451954,0.0695203624410721,173.116828642229,1350.58053285567,751.662216620429,44.3452501842957,50.8651191618111
NZL,1995,42.8241295397149,3.1649932,1190.67815023357,3.10287101816467,120.143673057124,0.067554297158341,169.303221112162,1359.98137134573,738.916215144778,45.6671811310471,52.1606242693813
NZL,1996,52.4936254250577,4.2472927,1212.63794414633,3.55572907179574,122.796756576483,0.0655924284220394,183.158996201759,1395.79694034809,757.364375868016,45.7396449315084,52.6482424174444
NZL,1997,51.3828302655156,4.3812746,1233.6245113224,3.47875605197937,124.977353363011,0.0687560557160401,184.288970336222,1417.91348165862,774.678148858847,45.3649211408401,52.1419059767424
NZL,1998,50.8698783883393,4.1248361,1206.32850196431,4.86310297204389,125.606765166459,0.0719060145824109,185.536488641425,1391.86499060573,769.153662138299,44.7393484763512,51.6203776544653
NZL,1999,50.1391202109363,4.7440306,1201.36118010128,3.19418896837896,126.294667452113,0.0750429215721634,184.447050153,1385.80823025428,761.240041518829,45.0688757001284,51.9883777735183
NZL,2000,47.4353592706617,5.5445272,1238.48830971572,2.71123471939864,127.264404511376,0.0781672968476935,183.033692998284,1421.52200271401,761.714892194988,46.4155397707035,53.2751989133004
NZL,2001,48.7310399833037,4.9043567,1246.97749154639,2.87653989578902,127.974676160145,0.0812795792517137,184.56789231849,1431.54538386488,742.281215337435,48.1482582596559,55.274788294108
NZL,2002,44.6133821183266,5.2471694,1239.438335821,2.9813859492703,128.817474524618,0.0803257499983805,181.739737742214,1421.17807356322,718.387118494573,49.4512945381003,56.7023735475408
NZL,2003,39.3821012376304,2.2257491,1261.25098816017,3.236824585049,126.3871265513,0.0792892876630724,171.311090761642,1432.56207892181,707.991232986981,50.578669964527,57.4485849951076
NZL,2004,40.5274541085673,2.5019607,1267.63466901847,3.00474027134318,127.257500460003,0.0782004179612777,173.369855957874,1441.00452497634,717.913200524084,50.1796706338676,57.0425645594046
NZL,2005,45.8659982796528,0.7893945,1271.1354270184,4.5859371262835,126.890945265964,0.0770502946503573,178.209325466551,1449.34475248495,730.585552786017,49.5920103527195,56.5446595556595
NZL,2006,58.8517925558663,0.929683,1273.64531722869,4.71922354821073,125.402829637095,0.0758285420151108,189.979357283187,1463.62467451187,739.037765562416,49.5063332538521,56.890792055521
NZL,2007,49.4581420173265,0.9997663,1238.1642451021,6.29999493988614,124.520112970902,0.0748713364226293,181.352887564537,1419.51713266664,702.125585612734,50.5377167027387,57.939934050894
NZL,2008,40.2647265045312,1.3117314,1206.74226555899,3.10688771403529,122.980421955279,0.073990164323551,167.737757738169,1374.48002329716,645.434124136029,53.0415784008461,60.4143834162816
NZL,2009,45.558286595599,1.891428,1203.92063489022,3.94801548906974,120.918712942846,0.0731733608661257,172.389616388381,1376.3102512786,629.762055420617,54.2427258072397,62.0097516582609
NZL,2010,56.7759069416608,1.9061802,1204.29108536711,3.71774951109945,119.511408907628,0.0724110848253404,181.983656645213,1386.27474201232,635.086498947416,54.1875445248665,62.375969746211
NZL,2011,52.8652316615274,1.9159529,1216.67056210308,2.6320418318293,115.973752452295,0.0716950335058998,173.458673879158,1390.12923598224,618.974985020111,55.473565406834,63.382338241927
NZL,2012,40.4438562429219,2.5473926,1249.1161832314,3.09557160223295,113.509991272356,0.0690313436728999,159.665843061183,1408.78202629258,613.644709703051,56.441472261117,63.6559935147545
NZL,2013,32.5183332707665,3.2659701,1249.7995539817,3.06483233507976,111.681724956104,0.0663921008841634,150.597252762834,1400.39680674453,598.250124265598,57.2799565534332,64.1820266236611
NZL,2014,31.6669570560855,5.0592594,1258.4080366185,2.86601918619662,110.133674634557,0.0638191110681546,149.789729387907,1408.19776600641,591.661048795288,57.9845201378771,64.8864830365561
NZL,2015,32.6819736771842,4.2680433,1245.58986699645,3.18279920640249,108.764559681374,0.0612758721203859,148.958651737081,1394.54851873353,581.915162297138,58.2721465420501,65.2408451584416
NZL,2016,29.415346286518,5.01110799875506,1230.55438687709,4.4595021040812,107.488260708,0.0587675751487996,146.432984672503,1376.98737154959,569.454179853842,58.6449235759506,65.6235271116388
NZL,2017,24.5777819434693,4.4807197,1233.82547793758,3.95708787666651,106.304335803338,0.0588415507687098,139.378766874242,1373.20424481183,559.743436608281,59.2381513002836,65.9299733024886
NZL,2018,24.1755060235166,3.6906674,1239.16467200909,2.98017301196357,104.70528714468,0.0589126855500751,135.610546265711,1374.7752182748,557.632165447499,59.4383024922962,65.9430559380333
NZL,2019,21.6871235810881,4.28927,1246.13695075985,3.38101519380167,103.504631425322,0.0590290654201976,132.921069265632,1379.05802002549,551.134850259062,60.0354124151444,66.4391798398715
NZL,2020,21.200038878306,3.8459956,1242.05447468167,3.79709124348295,102.205247356207,0.0590861737771137,131.107459251773,1373.16193393344,538.5092369066,60.7832679016936,67.1993631552075
NZL,2021,20.781185145067,3.1049149,1242.93506230944,1.29112394336412,100.724789386281,0.0590629936777496,125.96107636839,1368.89613867783,527.127093514197,61.4925428876342,67.7242979693228
NZL,2022,20.2558788035268,2.7900334,1213.74193120046,1.23038826466394,99.5818174461361,0.0591219020179247,123.917239816345,1337.65917101681,513.226168075663,61.6325160253237,67.9249008169089
NZL,2023,18.9552515092052,3.1912822,1191.08092636814,1.64974012368933,98.929115560462,0.0590973782343256,122.784486771591,1313.86541313974,502.318993610874,61.767850147567,68.1352880029273
NZL,2024,17.7294465655361,1.5470398,1186.37727628984,1.75695727557847,98.3611832557719,0.0591183127650994,119.453745209652,1305.83102149949,487.148280372378,62.6943860000367,69.0069472408794
