names,total_CH4_pred_in_kt_5,total_CH4_wo_Cat_EnterFe_in_kt_5,Cat_EnterFer_pred_in_kt_5,Dairy_Pop_in_1000s_5,Dairy_Ym_in_perc_5,Dairy_DE_in_perc_5,Dairy_NEs_total_5,NonDairy_Pop_in_1000s_5,NonDairy_Ym_in_perc_5,NonDairy_DE_in_perc_5,NonDairy_NEs_total_5,total_CH4_pred_in_kt_10,total_CH4_wo_Cat_EnterFe_in_kt_10,Cat_EnterFer_pred_in_kt_10,Dairy_Pop_in_1000s_10,Dairy_Ym_in_perc_10,Dairy_DE_in_perc_10,Dairy_NEs_total_10,NonDairy_Pop_in_1000s_10,NonDairy_Ym_in_perc_10,NonDairy_DE_in_perc_10,NonDairy_NEs_total_10,total_CH4_pred_in_kt_15,total_CH4_wo_Cat_EnterFe_in_kt_15,Cat_EnterFer_pred_in_kt_15,Dairy_Pop_in_1000s_15,Dairy_Ym_in_perc_15,Dairy_DE_in_perc_15,Dairy_NEs_total_15,NonDairy_Pop_in_1000s_15,NonDairy_Ym_in_perc_15,NonDairy_DE_in_perc_15,NonDairy_NEs_total_15
Equation,y = -559.538*x + 1158637.594,y = -529.671*x + 1091556.297,y = -29.867*x + 67081.297,y = -78.221*x + 176838.967,y = -0.001*x + 8.017,y = 0.006*x + 53.297,y = 0.736*x - 1400.748,y = -526.204*x + 1143925.596,y = -0.01*x + 27.096,y = 0.081*x - 96.049,y = 0.173*x - 295.476,y = -193.873*x + 419887.809,y = -245.886*x + 518212.392,y = 52.013*x - 98324.583,y = 21.479*x - 24555.96,y = -0.003*x + 12.927,y = 0.002*x + 62.028,y = 0.671*x - 1269.793,y = 638.685*x - 1209266.975,y = -0.006*x + 19.106,y = 0.049*x - 32.878,y = 0.113*x - 173.444,y = -217.147*x + 466828.071,y = -236.704*x + 499649.489,y = 19.557*x - 32821.418,y = 35.307*x - 52471.673,y = -0.005*x + 16.261,y = 0*x + 65.618,y = 0.617*x - 1159.782,y = 104.563*x - 131253.734,y = -0.006*x + 17.665,y = 0.043*x - 19.257,y = 0.106*x - 158.969
R²,0.987,0.989,0.567,0.789,0.704,0.845,0.977,0.765,0.96,0.952,0.921,0.584,0.753,0.617,0.144,0.802,0.293,0.99,0.544,0.787,0.82,0.838,0.803,0.876,0.251,0.536,0.916,0.011,0.993,0.04,0.876,0.89,0.915
