names,total_CH4_pred_in_kt_5,total_CH4_wo_Cat_EnterFe_in_kt_5,Cat_EnterFer_pred_in_kt_5,Dairy_Pop_in_1000s_5,Dairy_Ym_in_perc_5,Dairy_DE_in_perc_5,Dairy_NEs_total_5,NonDairy_Pop_in_1000s_5,NonDairy_Ym_in_perc_5,NonDairy_DE_in_perc_5,NonDairy_NEs_total_5,total_CH4_pred_in_kt_10,total_CH4_wo_Cat_EnterFe_in_kt_10,Cat_EnterFer_pred_in_kt_10,Dairy_Pop_in_1000s_10,Dairy_Ym_in_perc_10,Dairy_DE_in_perc_10,Dairy_NEs_total_10,NonDairy_Pop_in_1000s_10,NonDairy_Ym_in_perc_10,NonDairy_DE_in_perc_10,NonDairy_NEs_total_10,total_CH4_pred_in_kt_15,total_CH4_wo_Cat_EnterFe_in_kt_15,Cat_EnterFer_pred_in_kt_15,Dairy_Pop_in_1000s_15,Dairy_Ym_in_perc_15,Dairy_DE_in_perc_15,Dairy_NEs_total_15,NonDairy_Pop_in_1000s_15,NonDairy_Ym_in_perc_15,NonDairy_DE_in_perc_15,NonDairy_NEs_total_15
Equation,y = -17.056*x + 36411.211,y = -6.25*x + 13677.282,y = -10.806*x + 22733.929,y = -78.386*x + 162269.508,y = -0.023*x + 52.062,y = 0.063*x - 51.879,y = 1.868*x - 3630.669,y = -110.076*x + 229727.445,y = 0.005*x - 4.499,y = -0.035*x + 144.304,y = 0.129*x - 215.365,y = -48.866*x + 100735.125,y = -36.946*x + 75747.569,y = -11.92*x + 24987.556,y = -76.559*x + 158578.922,y = -0.024*x + 55.219,y = 0.057*x - 40.026,y = 1.941*x - 3778.256,y = -168.698*x + 348278.384,y = 0.002*x + 2.939,y = -0.016*x + 106.264,y = 0.209*x - 377.797,y = -47.139*x + 97245.387,y = -40.092*x + 82103.312,y = -7.047*x + 15142.075,y = -44.459*x + 93727.349,y = -0.023*x + 52.942,y = 0.032*x + 10.375,y = 1.532*x - 2951.872,y = -125.537*x + 261079.881,y = 0*x + 6.57,y = -0.014*x + 102.431,y = 0.144*x - 246.555
R²,0.336,0.07,0.929,0.956,0.712,0.735,0.72,0.893,0.821,0.891,0.888,0.864,0.792,0.989,0.988,0.946,0.932,0.946,0.974,0.483,0.749,0.957,0.949,0.934,0.784,0.767,0.977,0.716,0.94,0.917,0,0.852,0.863
