names,total_CH4_pred_in_kt_5,total_CH4_wo_Cat_EnterFe_in_kt_5,Cat_EnterFer_pred_in_kt_5,Dairy_Pop_in_1000s_5,Dairy_Ym_in_perc_5,Dairy_DE_in_perc_5,Dairy_NEs_total_5,NonDairy_Pop_in_1000s_5,NonDairy_Ym_in_perc_5,NonDairy_DE_in_perc_5,NonDairy_NEs_total_5,total_CH4_pred_in_kt_10,total_CH4_wo_Cat_EnterFe_in_kt_10,Cat_EnterFer_pred_in_kt_10,Dairy_Pop_in_1000s_10,Dairy_Ym_in_perc_10,Dairy_DE_in_perc_10,Dairy_NEs_total_10,NonDairy_Pop_in_1000s_10,NonDairy_Ym_in_perc_10,NonDairy_DE_in_perc_10,NonDairy_NEs_total_10,total_CH4_pred_in_kt_15,total_CH4_wo_Cat_EnterFe_in_kt_15,Cat_EnterFer_pred_in_kt_15,Dairy_Pop_in_1000s_15,Dairy_Ym_in_perc_15,Dairy_DE_in_perc_15,Dairy_NEs_total_15,NonDairy_Pop_in_1000s_15,NonDairy_Ym_in_perc_15,NonDairy_DE_in_perc_15,NonDairy_NEs_total_15
Equation,y = -18.969*x + 39695.716,y = -12.753*x + 26300.235,y = -6.216*x + 13395.482,y = -102.756*x + 213780.671,y = 0*x + 6.5,y = 0.011*x + 54.263,y = 0.715*x - 1352.955,y = -71.703*x + 148784.07,y = 0*x + 6.5,y = 0*x + 70.346,y = 0.937*x - 1835.457,y = -8.737*x + 19003.74,y = -10.058*x + 20851.018,y = 1.321*x - 1847.278,y = -88.716*x + 185394.664,y = 0*x + 6.5,y = -0.007*x + 90.206,y = 0.906*x - 1740.452,y = 22.947*x - 42611.147,y = 0*x + 6.5,y = 0*x + 70.346,y = 0.508*x - 968.768,y = -5.859*x + 13191.011,y = -9.839*x + 20408.364,y = 3.98*x - 7217.353,y = -29.407*x + 65583.652,y = 0*x + 6.5,y = 0.021*x + 33.254,y = 1.019*x - 1969.163,y = -0.097*x + 3942.39,y = 0*x + 6.5,y = 0*x + 71.161,y = 0.105*x - 153.685
R²,0.949,0.997,0.657,0.887,NaN,0.57,0.797,0.732,NaN,NaN,0.852,0.782,0.978,0.131,0.93,0.492,0.305,0.895,0.211,0.492,0.488,0.773,0.71,0.992,0.584,0.219,0.513,0.469,0.966,0,0.513,0.481,0.096
