Country,Year,Energy_in_kt,Industrial_processes_and_product_use_in_kt,Agriculture_in_kt,LULUCF_in_kt,Waste_in_kt,Other_in_kt,Total_CH4_without_Agriculture_in_kt,Total_CH4_in_kt,total_CH4_wo_Cat_EnterFe_in_kt,share_total_of_Cat_enterfe_in_procent,share_agric_of_Cat_enterfe_in_procent
USA,1990,14606.5237190366,2.506649208,8632.9443118368,1897.97651005725,7888.69762407923,,24395.704502381,33028.6488142178,26740.0079799742,19.0399579153736,72.8446820353177
USA,1991,14690.59606668,1.999027068,8728.00923952121,1864.85256589414,7995.30325524759,,24552.7509148898,33280.760154411,26984.1153042304,18.9197747316059,72.1429672836365
USA,1992,14486.5569093481,2.157048632,8845.30956149624,1802.29095894728,8001.03490371406,,24292.0398206414,33137.3493821376,26649.4594116399,19.5787837333633,73.3483653160041
USA,1993,13943.7369943609,2.0611049,9015.01103017928,1809.5100764503,7926.77983868911,,23682.0880144003,32697.0990445796,26110.5676140197,20.1440850198354,73.0618233134754
USA,1994,14053.206826644,2.232456512,9207.4436904803,1878.95826957622,7930.04086308879,,23864.438415821,33071.8821063013,26366.3794780332,20.2755398278058,72.8269740623125
USA,1995,13760.78310025,2.153683616,9446.7150859082,1788.62680110668,7739.85012742344,,23291.4137123962,32738.1287983044,25871.6756542204,20.9738717395468,72.6861462597386
USA,1996,13773.4753217632,2.209260688,9397.46106840713,1851.82628422274,7603.20718688821,,23230.7180535622,32628.1791219693,25800.1660169735,20.9267366084746,72.6580621647961
USA,1997,13776.693233732,2.144436496,9268.40043024646,1776.10484827729,7235.6803364818,,22790.6228549871,32059.0232852335,25372.4533379522,20.8570607026608,72.1437317863433
USA,1998,13554.737008969,2.083265424,9420.26713113684,1803.7152257176,6861.39428093155,,22221.9297810421,31642.196912179,25038.7232329371,20.8692010152438,70.0985819968465
USA,1999,13148.1646229984,2.028769888,9378.18480198217,1875.90410628184,6607.78729880719,,21633.8847979754,31012.0695999576,24399.0045704268,21.3241654453782,70.5154053706972
USA,2000,13211.6936110796,1.942234752,9436.95929223487,1990.62668242462,6481.61360219121,,21685.8761304474,31122.8354226823,24581.4871591273,21.017841641728,69.3162708557776
USA,2001,13192.1796506743,1.670200592,9330.43812741663,1838.50353855031,6300.14447586537,,21332.497865682,30662.9359930986,24165.932831664,21.1884575009285,69.6323481567682
USA,2002,12896.1452512012,1.582723136,9463.36673916922,2073.44132816837,6249.31076968229,,21220.4800721878,30683.846811357,24178.4763852632,21.2012870031862,68.7426642694491
USA,2003,12906.867168905,1.658808528,9357.26879895144,1967.11817676073,6345.95363527498,,21221.5977894687,30578.8665884202,24067.8273162287,21.2926115275219,69.5826892663497
USA,2004,13038.1193939572,1.63941984,9155.39226485694,2253.82399085984,6248.90741168645,,21542.4902163435,30697.8824812005,24314.5213944006,20.7941413897493,69.722420428696
USA,2005,12804.0322015001,1.605339664,9443.78583313096,2090.60385629914,6158.76166372143,,21055.0030611847,30498.7888943157,24039.2304333095,21.179721212504,68.4000947834357
USA,2006,13272.6606535487,1.573288832,9463.91914578927,1946.07620960936,6070.62799791944,,21290.9381499095,30754.8572956987,24187.9528079852,21.3524141067367,69.3888481775048
