"day","concentration.µg.ml","OD600_mean","sd_OD600","procent_sd"
0,0,0.00833333333333333,0.00680685928555405,163.364622853297
0,1,0.00366666666666667,0.00305505046330389,166.639116180212
0,2,0.00433333333333333,0.00152752523165195,70.5011645377822
0,5,0.004,0.004,200
0,10,0.00933333333333333,0.0110151410945722,236.038737740833
0,20,0.00866666666666667,0.00611010092660779,141.002329075564
1,0,0.0306666666666667,0.0123423390543824,80.4935155720592
1,1,0.0246666666666667,0.0196299091524473,159.161425560383
1,2,0.00433333333333333,0.0127410099024109,588.046610880504
1,5,-0.011,0.00793725393319377,-144.31370787625
1,10,-0.0126666666666667,0.0045092497528229,-71.1986803077299
1,20,-0.0163333333333333,0.0115470053837925,-141.391902658684
3,0,0.162,0.0510979451641649,63.0838829187221
3,1,0.234333333333333,0.0470779495447002,40.1803267806829
3,2,0.0736666666666667,0.0483459753581757,131.256041696405
3,5,0.0583333333333333,0.101913361897905,349.417240792817
3,10,-0.0136666666666667,0.00461880215351701,-67.5922266368342
3,20,-0.0183333333333333,0.00986576572463249,-107.626535177809
6,0,0.082,0.0242693221990232,59.1934687781053
6,1,0.137,0.0536935750346352,78.3847810724601
6,2,0.0733333333333333,0.0502924779001128,137.161303363944
6,5,0.002,0.00264575131106459,264.575131106459
6,10,-0.00833333333333333,0.00763762615825973,-183.303027798234
6,20,-0.0103333333333333,0.00960902353693305,-185.981100714833
7,0,0.0536666666666667,0.0225905584998099,84.1884167694779
7,1,0.103666666666667,0.0468223593311287,90.3325260407627
7,2,0.0643333333333333,0.0411015003781289,127.776685113354
7,5,-0.001,0.00173205080756888,-346.410161513776
7,10,-0.0126666666666667,0.00776745346515403,-122.644002081379
7,20,-0.013,0.00871779788708135,-134.119967493559
8,0,0.0353333333333333,0.0186100331362771,105.339810205342
8,1,0.075,0.0385875627631495,102.900167368399
8,2,0.0523333333333333,0.039272551907577,150.086185634052
8,5,-0.007,0.002,-57.1428571428571
8,10,-0.0136666666666667,0.00808290376865476,-118.28639661446
8,20,-0.0166666666666667,0.00838649708360608,-100.637965003273
9,0,0.009,0.0149331845230681,331.848544957068
9,1,0.04,0.0341760149812701,170.880074906351
9,2,0.033,0.0255147016443461,154.63455542028
9,5,-0.0206666666666667,0.00351188458428425,-33.9859798479121
9,10,-0.027,0.00754983443527075,-55.9246995205241
9,20,-0.029,0.00871779788708135,-60.1227440488369
10,0,-0.00366666666666667,0.0136503968196288,-744.567099252483
10,1,0.0176666666666667,0.0325934553757857,368.98251368814
10,2,0.0173333333333333,0.0258907963055085,298.739957371252
10,5,-0.0263333333333333,0.00305505046330389,-23.2029149111688
10,10,-0.0333333333333333,0.00723417813807023,-43.4050688284214
10,20,-0.0336666666666667,0.00838649708360608,-49.8207747540955
