"Animal","Year","Population_size_1000s","Red_in_perc","Ym_org_in_perc","Ym_upd_in_perc","DE_org_in_perc","DE_upd_in_perc","GE_org_in_MJ_per_head_per_day","GE_upd_in_MJ_per_head_per_day","Ch4_emission_org_in_kt_CRT","Ch4_emission_org_in_kt","Ch4_emission_upd_in_kt_Ym","CH4_Ym_in_kt_diff","CH4_emis_upd_in_kt_Ym_DE","CH4_Ym_De_in_kt_diff","CH4_Ym_and_Ym_DE_in_kt_diff"
"Non-dairy cattle",1997,4805.99999987,10,6.5,5.85,70.24707485,70.89707485,150.910797343726,149.051997164074,308.533437060976,309.204020719496,278.283618647546,30.9204020719495,274.855940512906,34.3480802065894,3.4276781346399
"Cattle",1998,8776.00000034,10,6.5,5.85,72.9660835971051,73.6160835971051,166.493750281167,164.570321887347,622.711328467431,622.924773470531,560.632296123478,62.2924773470531,554.155560059597,68.7692134109345,6.47673606388139
"Dairy cattle",1998,4344.0000003,10,6.5,5.85,75.754334,76.404334,180.632511679268,178.665453843942,334.942725012752,334.523621571741,301.071259414566,33.4523621571741,297.792643763834,36.7309778079066,3.27861565073249
"Non-dairy cattle",1998,4432.00000004,10,6.5,5.85,70.2331955666667,70.8831955666667,152.6357224118,150.755057170937,287.768603454679,288.401151898791,259.561036708911,28.8401151898791,256.362916295763,32.0382356030279,3.19812041314884
"Cattle",1999,8960.113939381,10,6.5,5.85,72.888568065962,73.538568065962,163.601814750784,161.712104019359,624.568188735451,624.94630049993,562.451670449937,62.494630049993,555.954976270987,68.9913242289432,6.49669417895018
"Dairy cattle",1999,4316.408939631,10,6.5,5.85,75.7602185833333,76.4102185833333,183.094923926728,181.101298421726,337.349760791305,336.930200157246,303.237180141521,33.6930200157246,299.935388025008,36.994812132238,3.30179211651341
"Non-dairy cattle",1999,4643.70499975,10,6.5,5.85,70.2193162583333,70.8693162583333,145.482612365452,143.689492321345,287.218427944146,288.016100342684,259.214490308416,28.8016100342684,256.019588245979,31.9965120967052,3.19490206243677
"Cattle",2000,9192.165003194,10,6.5,5.85,72.9792783767369,73.6292783767369,168.495104003462,166.551852483504,659.807110519022,660.307378041518,594.276640237366,66.030737804152,587.422856614117,72.884521427401,6.853783623249
"Dairy cattle",2000,4598.135669824,10,6.5,5.85,75.7506426166667,76.4006426166667,186.458503693198,184.427843583677,365.937653096917,365.514851948897,328.963366754007,36.5514851948898,325.380731620025,40.1341203288724,3.58263513398265
"Non-dairy cattle",2000,4594.02933337,10,6.5,5.85,70.205436975,70.855436975,150.515647872282,148.659883071358,293.869457422105,294.792526092621,265.313273483359,29.4792526092621,262.042124994092,32.7504010985285,3.27114848926635
"Cattle",2001,9424.215996981,10,6.5,5.85,73.0718879352388,73.7218879352389,171.687137574058,169.711823813566,689.264168527445,689.80135593569,620.821220342121,68.9801355935691,613.678479676311,76.1228762593796,7.14274066581049
"Dairy cattle",2001,4879.862330501,10,6.5,5.85,75.732110225,76.382110225,190.200617177732,188.128392376948,396.114415689077,395.694983300301,356.125484970271,39.5694983300301,352.245518264079,43.4494650362219,3.87996670619174
"Non-dairy cattle",2001,4544.35366648,10,6.5,5.85,70.215262,70.865262,151.80681171147,149.935563912751,293.149752838368,294.10637263539,264.695735371851,29.410637263539,261.432961412232,32.6734112231578,3.26277395961876
"Cattle",2002,9652.87,10,6.5,5.85,73.1655868560548,73.8155868560548,170.889624697796,168.927344295021,702.790955068647,703.255610802888,632.930049722599,70.3255610802889,625.66228121357,77.5933295893174,7.26776850902843
"Dairy cattle",2002,5161.589,10,6.5,5.85,75.7312599416667,76.3812599416667,188.345310186705,186.293262009255,414.980968095413,414.456813170242,373.011131853218,41.4456813170242,368.947124034126,45.5096891361162,4.06400781909201
"Non-dairy cattle",2002,4491.281,10,6.5,5.85,70.216996025,70.866996025,150.828739127062,148.969624025749,287.809986973234,288.798797632645,259.918917869381,28.8798797632646,256.715157179444,32.083640453201,3.20376068993642
"Cattle",2003,9728.218955908,10,6.5,5.85,73.1141979642781,73.7641979642781,174.784793509651,172.777788250506,724.570845934829,724.899892009153,652.409902808238,72.4899892009153,644.918461019955,79.9814309891974,7.49144178828215
"Dairy cattle",2003,5101.602955908,10,6.5,5.85,75.740082075,76.390082075,196.101251441704,193.965099118847,427.118207172293,426.508875600912,383.857988040821,42.6508875600912,379.676581105514,46.8322944953984,4.18140693530722
"Non-dairy cattle",2003,4626.616,10,6.5,5.85,70.2187300583333,70.8687300583333,151.279902506021,149.415303066157,297.452638762536,298.391016408241,268.551914767417,29.839101640824,265.241879914442,33.1491364937991,3.31003485297504
"Cattle",2004,9599.889569218,10,6.5,5.85,73.1910234504973,73.8410234504973,176.753736471532,174.723853628512,723.091324452256,723.395650120677,651.05608510861,72.3395650120677,643.579198886074,79.8164512346033,7.47688622253554
"Dairy cattle",2004,5152.491569218,10,6.5,5.85,75.755076125,76.405076125,192.899479752556,190.798869586653,424.393661397803,423.730181056546,381.357162950892,42.3730181056547,377.204312282958,46.5258687735885,4.15285066793376
"Non-dairy cattle",2004,4447.398,10,6.5,5.85,70.2204640833333,70.8704640833333,158.04823583178,156.100293470558,298.697663054453,299.665469064131,269.698922157718,29.9665469064131,266.374886603116,33.2905824610148,3.32403555460172
"Cattle",2005,9510.804,10,6.5,5.85,73.2069317266018,73.8569317266018,177.376245068953,175.339311025387,718.759199698933,719.206727470949,647.286054723854,71.9206727470947,639.852821484083,79.3539059868654,7.43323323977063
"Dairy cattle",2005,5087.178,10,6.5,5.85,75.7878957416667,76.4378957416667,192.840917609486,190.742398661432,418.873347123789,418.231919951073,376.408727955965,41.8231919951072,372.31260117115,45.9193187799227,4.09612678481545
"Non-dairy cattle",2005,4423.626,10,6.5,5.85,70.2388183833333,70.8888183833333,159.591843330333,157.625732039696,299.885852575144,300.974807519876,270.877326767889,30.0974807519876,267.540220312933,33.4345872069428,3.33710645495518
"Cattle",2006,9608.692,10,6.5,5.85,73.2364213921577,73.8864213921577,176.955260180783,174.923487433363,724.586908949454,724.88448096195,652.396032865755,72.488448096195,644.905323187234,79.9791577747155,7.49070967852049
"Dairy cattle",2006,5169.557,10,6.5,5.85,75.7811998833333,76.4311998833333,190.937391813559,188.859293814969,421.497856163466,420.809336100871,378.728402490784,42.0809336100872,374.606450641804,46.2028854590667,4.12195184897956
"Non-dairy cattle",2006,4439.135,10,6.5,5.85,70.2729211916667,70.9229211916667,160.672487420518,158.694662351298,303.089052785988,304.075144861079,273.667630374971,30.4075144861079,270.29887254543,33.7762723156488,3.36875782954098
"Cattle",2007,9654.467,10,6.5,5.85,73.3104563887604,73.9604563887604,174.325918658949,172.328540069429,717.391547053906,717.51554971325,645.763994741925,71.751554971325,638.365007907939,79.1505418053114,7.39898683398633
"Dairy cattle",2007,5260.85,10,6.5,5.85,75.8187833083333,76.4687833083333,189.072508538157,187.016337315956,424.704402090773,424.058094837948,381.652285354153,42.4058094837947,377.501801224547,46.5562936134004,4.15048412960567
"Non-dairy cattle",2007,4393.617,10,6.5,5.85,70.3070239833333,70.9570239833333,156.668576800059,154.741595612416,292.687144963133,293.457454875302,264.111709387772,29.3457454875302,260.863206683391,32.594248191911,3.24850270438077
"Cattle",2008,9715.312,10,6.5,5.85,73.5642315970285,74.2142315970285,176.009681082983,174.002703444749,729.045899161131,729.011468750158,656.110321875142,72.9011468750159,648.628922351461,80.3825463986974,7.48139952368149
"Dairy cattle",2008,5578.44,10,6.5,5.85,75.9544288666667,76.6044288666667,188.095924453199,186.05620530764,447.989509280251,447.335334922534,402.601801430281,44.7335334922534,398.23597263946,49.0993622830738,4.36582879082044
"Non-dairy cattle",2008,4136.872,10,6.5,5.85,70.3411267833333,70.9911267833333,159.711767232579,157.748940473107,281.05638988088,281.676133827624,253.508520444861,28.1676133827624,250.392949712,31.2831841156235,3.11557073286107
"Cattle",2009,9961.494,10,6.5,5.85,73.6962118289688,74.3462118289688,175.8031239846,173.80411828514,746.548195857983,746.607104560377,671.946394104339,74.6607104560376,664.305888969382,82.3012155909942,7.64050513495658
"Dairy cattle",2009,5860.775,10,6.5,5.85,76.0338242333333,76.6838242333333,187.30115248827,185.27343573341,468.728259043407,467.989975949571,421.190978354614,46.798997594957,416.63117724042,51.3587987091504,4.55980111419342
"Non-dairy cattle",2009,4100.719,10,6.5,5.85,70.3552805583333,71.0052805583333,159.370064805563,157.41209313836,277.819936814576,278.617128610806,250.755415749725,27.8617128610806,247.674711728962,30.9424168818438,3.08070402076319
"Cattle",2010,9863.971,10,6.5,5.85,73.8019655617459,74.4519655617459,178.625169736883,176.601929940592,751.188243064904,751.165258738906,676.048732865016,75.1165258738907,668.391308647703,82.773950091203,7.65742421731227
"Dairy cattle",2010,5915.451,10,6.5,5.85,76.1037445666667,76.7537445666667,193.607191954111,191.514277068741,488.987268126847,488.259160167241,439.433244150517,48.8259160167241,434.682922798678,53.5762373685627,4.75032135183858
"Non-dairy cattle",2010,3948.52,10,6.5,5.85,70.353569475,71.003569475,156.179945119325,154.261088630037,262.200974938057,262.906098571665,236.615488714499,26.2906098571665,233.708385849025,29.1977127226403,2.90710286547375
