"Animal","Year","Population_size_1000s","Red_in_perc","Ym_org_in_perc","Ym_upd_in_perc","DE_org_in_perc","DE_upd_in_perc","GE_org_in_MJ_per_head_per_day","GE_upd_in_MJ_per_head_per_day","Ch4_emission_org_in_kt_CRT","Ch4_emission_org_in_kt","Ch4_emission_upd_in_kt_Ym","CH4_Ym_in_kt_diff","CH4_emis_upd_in_kt_Ym_DE","CH4_Ym_De_in_kt_diff","CH4_Ym_and_Ym_DE_in_kt_diff"
"Non-dairy cattle",1996,89592.4691638649,10,6.13529358401594,5.52176422561435,65.4245945753239,66.0381239337255,149.688902814485,147.723507947366,5371.77927819966,5396.64879813163,4856.98391831847,539.664879813164,4793.21238226431,603.436415867326,63.7715360541624
"Cattle",1997,105709.28014629,10,6.15627406826703,5.54064666144033,65.7835119138491,66.3991393206758,160.119792121542,158.030669058507,6686.56994728129,6846.04497787196,6161.44048008477,684.604497787196,6081.05255237887,764.992425493087,80.3879277058913
"Dairy cattle",1997,18366.7448038228,10,6.32082061344984,5.68873855210486,66.921976496813,67.554058558158,208.438324506443,205.727719237459,1448.61776316089,1587.12424554684,1428.41182099215,158.712424554683,1409.83625137256,177.287994174272,18.5755696195888
"Non-dairy cattle",1997,87342.5353424668,10,6.12167254918044,5.5095052942624,65.544110934916,66.1562781898341,149.95917392871,148.000738680404,5237.9521841204,5258.92073232513,4733.02865909261,525.892073232513,4671.21630100631,587.704431318815,61.8123580863021
"Cattle",1998,104264.808441053,10,6.14455170086042,5.53009653077438,65.8670676408868,66.4815228109729,160.655590256487,158.567854346184,6603.47367924195,6761.92611561993,6085.73350405794,676.192611561994,6006.64998326874,755.27613235119,79.083520789196
"Dairy cattle",1998,18137.4489423687,10,6.30226034585344,5.6720343112681,66.9215509819682,67.5517770165535,209.900095070272,207.178349557551,1434.85796630615,1573.66713095037,1416.30041785533,157.366713095037,1397.93544614976,175.731684800608,18.3649717055712
"Non-dairy cattle",1998,86127.3594986844,10,6.11134004183615,5.50020603765253,65.6450053615976,66.2561393657812,150.285253850599,148.331033200252,5168.6157129358,5188.25898466956,4669.43308620261,518.825898466956,4608.71453711898,579.544447550582,60.7185490836255
"Cattle",1999,104257.101933663,10,6.10394088638448,5.49354679774603,65.9441935371493,66.5545876257878,162.05035942319,159.957692104507,6613.06502953084,6778.05941333843,6100.25347200459,677.805941333843,6021.45893639103,756.600476947408,78.7945356135651
"Dairy cattle",1999,18072.0209694026,10,6.28270477574962,5.65443429817466,65.915271431758,66.543541909333,217.504493264615,214.618622891993,1475.23942130491,1619.75490391206,1457.77941352085,161.975490391206,1438.4374571495,181.317446762564,19.3419563713576
"Non-dairy cattle",1999,86185.0809642603,10,6.06645615328411,5.4598105379557,65.9502581702536,66.556903785582,150.422264880495,148.49592312609,5137.82560822593,5158.30450942637,4642.47405848374,515.830450942637,4583.02147924153,575.283030184845,59.4525792422082
"Cattle",2000,102952.359145949,10,6.10759448582199,5.49683503723979,66.100473380663,66.7112328292452,162.402822470114,160.312369927255,6541.348263555,6711.27462177716,6040.14715959944,671.127462177717,5962.3809934721,748.893628305063,77.766166127346
"Dairy cattle",2000,18142.2024967036,10,6.27078310282253,5.64370479254028,65.9184714877048,66.5455497979871,219.855040677752,216.943680087475,1491.76409919687,1640.49878301367,1476.44890471231,164.049878301368,1456.89749874278,183.601284270894,19.5514059695261
"Non-dairy cattle",2000,84810.1566492453,10,6.07268592001159,5.46541732801043,66.1394063967932,66.7466749887944,150.112905580578,148.198057948921,5049.58416435813,5070.77583876349,4563.69825488714,507.077583876349,4505.48349472932,565.292344034169,58.2147601578199
"Cattle",2001,102163.813848344,10,6.11682096078901,5.5051388647101,66.0560436945364,66.6677257906153,162.309078046068,160.215687881257,6497.00316143459,6662.47897234049,5996.23107510645,666.247897234049,5918.88573417022,743.593238170276,77.3453409362273
"Dairy cattle",2001,17926.5809741059,10,6.23312559170227,5.60981303253204,65.9348781429328,66.558190702103,221.693688840796,218.776603206034,1480.85902009824,1624.74186212298,1462.26767591068,162.474186212298,1443.02689348751,181.714968635472,19.2407824231736
"Non-dairy cattle",2001,84237.2328742385,10,6.092070095731,5.4828630861579,66.081829015326,66.6910360248991,149.671399935051,147.753300945368,5016.14414133635,5037.73711021751,4533.96339919576,503.773711021751,4475.85884068271,561.878269534805,58.1045585130532
"Cattle",2002,102092.757209596,10,6.10730194878845,5.49657175390961,66.0935261630431,66.7042563579219,162.968343477122,160.871566834133,6505.37042609382,6674.34926666016,6006.91433999414,667.434926666014,5929.61992929786,744.729337362292,77.2944106962786
"Dairy cattle",2002,17832.9470134924,10,6.21951933766818,5.59756740390136,65.931817323697,66.5537692574638,224.157832978635,221.214431874478,1485.19255651506,1630.65301159585,1467.58771043626,163.065301159585,1448.31691704063,182.336094555222,19.2707933956372
"Non-dairy cattle",2002,84259.8101961033,10,6.08355199320195,5.47519679388176,66.12775060714,66.7361058064602,150.018054109943,148.100459085346,5020.17786957876,5043.69625506431,4539.32662955788,504.369625506429,4481.30301225724,562.39324280707,58.0236173006415
"Cattle",2003,101279.540370337,10,6.09217000965229,5.48295300868706,66.1645073675868,66.7737243685521,164.670526323127,162.560491024077,6511.03927219147,6674.10227223009,6006.69204500708,667.410227223009,5929.71412450548,744.38814772461,76.9779205016011
"Dairy cattle",2003,17918.7594908953,10,6.20976560929247,5.58878904836322,65.9305254384641,66.5515019993934,224.622187965698,221.677147590472,1491.24956740905,1639.31909326925,1475.38718394232,163.931909326925,1456.04325863756,183.275834631687,19.3439253047623
"Non-dairy cattle",2003,83360.780879442,10,6.06689232817055,5.46020309535349,66.2148027927128,66.8214920255299,151.783658005442,149.853110649953,5019.78970478242,5034.78317896084,4531.30486106476,503.478317896084,4473.67086586792,561.112313092923,57.6339951968384
"Cattle",2004,99314.7946386389,10,6.09777372231153,5.48799635008038,66.2355009650105,66.8452783372416,164.443045025455,162.341269944274,6383.36108679988,6539.65419584168,5885.68877625751,653.965419584168,5810.4609846572,729.193211184484,75.2277916003159
"Dairy cattle",2004,17642.3099397161,10,6.1952651694507,5.57573865250563,66.6282841743538,67.2478106912989,222.182615474878,219.328423384637,1447.94339822536,1592.77018624911,1433.4931676242,159.277018624911,1415.07829366251,177.691892586598,18.4148739616867
"Non-dairy cattle",2004,81672.4846989228,10,6.07671431248408,5.46904288123567,66.1506547264774,66.7583261577258,151.970553201434,150.031309897346,4935.41768857452,4946.88400959257,4452.19560863331,494.688400959257,4395.38269099468,551.501318597886,56.8129176386292
"Cattle",2005,99986.237863469,10,6.09344813170701,5.48410331853631,66.2446643368426,66.8540091500133,165.425924557227,163.313667055065,6459.55846100624,6618.04125147222,5956.237126325,661.804125147221,5880.18287679472,737.858374677495,76.0542495302734
"Dairy cattle",2005,17793.4431946766,10,6.18302889486947,5.56472600538252,66.6180008882528,67.2363037777397,224.686879262109,221.805373216132,1473.37747145681,1621.3123105544,1459.18107949896,162.131231055439,1440.46775223855,180.844558315844,18.7133272604049
"Non-dairy cattle",2005,82192.7946687924,10,6.07405530990201,5.46664977891181,66.1638428640264,66.7712483950166,152.596862892483,150.651135562729,4986.18098954943,4996.72894091782,4497.05604682604,499.672894091782,4439.71512455617,557.01381636165,57.3409222698683
"Cattle",2006,101341.021654928,10,6.06988683451968,5.46289815106771,66.383232098098,66.99022078155,166.554595439123,164.442705658836,6566.90448771353,6728.40449922836,6055.56404930553,672.840449922836,5978.77673374845,749.627765479914,76.7873155570778
"Dairy cattle",2006,18077.6693365023,10,6.17035264708805,5.55331738237925,66.6107955198104,67.2278307845192,226.559870854871,223.659677897673,1505.64604871539,1657.53652833912,1491.78287550521,165.753652833912,1472.68656258411,184.84996575501,19.0963129210984
"Non-dairy cattle",2006,83263.3523184256,10,6.04807426405905,5.44326683765315,66.3338248117439,66.9386322381498,153.526588552453,151.585850710832,5061.25843899814,5070.86797088924,4563.78117380032,507.086797088924,4506.09017116434,564.777799724904,57.6910026359801
"Cattle",2007,100990.442357579,10,6.10697266288617,5.49627539659756,66.0516462496747,66.6623435159633,169.007099565819,166.827570050258,6673.87007375831,6841.63323608224,6157.46991247402,684.163323608224,6078.0563003283,763.576935753948,79.4136121457232
"Dairy cattle",2007,18189.9240790303,10,6.15920269736417,5.54328242762775,65.1081694380682,65.7240897078046,235.496235765883,232.36610803842,1570.84493181794,1730.48185024024,1557.43366521622,173.048185024024,1536.73284049465,193.749009745587,20.7008247215629
"Non-dairy cattle",2007,82800.5182785487,10,6.09549857574817,5.48594871817335,66.2589127249365,66.8684625825113,154.400520226656,152.429821641911,5103.02514194037,5111.151385842,4600.0362472578,511.1151385842,4541.32345983364,569.827926008361,58.7127874241605
"Cattle",2008,99954.0161817038,10,6.11681038776273,5.50512934898646,66.0232733664355,66.6349544052118,169.972783931759,167.776871681295,6649.43340155368,6819.57819649174,6137.62037684257,681.957819649173,6058.3235535777,761.254642914038,79.2968232648655
