"Animal","Year","Population_size_1000s","Red_in_perc","Ym_org_in_perc","Ym_upd_in_perc","DE_org_in_perc","DE_upd_in_perc","GE_org_in_MJ_per_head_per_day","GE_upd_in_MJ_per_head_per_day","Ch4_emission_org_in_kt_CRT","Ch4_emission_org_in_kt","Ch4_emission_upd_in_kt_Ym","CH4_Ym_in_kt_diff","CH4_emis_upd_in_kt_Ym_DE","CH4_Ym_De_in_kt_diff","CH4_Ym_and_Ym_DE_in_kt_diff"
"Non-dairy cattle",1996,10564.8951425,10,6.45380054,5.808420486,74.28103578,74.926415834,104.2528974,103.089413843096,467.04635882,466.226075615601,419.603468054041,46.6226075615601,414.920607935271,51.3054676803303,4.68286011877012
"Cattle",1997,15227.6628566,10,6.60569913155173,5.94512921839655,74.6345663498519,75.2951362630071,160.931606526644,159.093864543613,1076.99672865,1076.9784426674,969.280598400662,107.697844266741,958.206602798766,118.771839868637,11.0739956018965
"Dairy cattle",1997,5026.373,10,6.87452748,6.187074732,75.449792,76.137244748,276.0653111,272.867498119837,624.90317382,625.65814236777,563.092328130993,62.5658142367771,556.569726835116,69.0884155326538,6.52260129587671
"Non-dairy cattle",1997,10201.2898566,10,6.4732422,5.82591798,74.23288889,74.88021311,104.2030014,103.035392726989,452.09355483,451.320300299632,406.188270269669,45.1320300299633,401.636875963649,49.6834243359832,4.55139430601992
"Cattle",1998,14942.7925717,10,6.59929247678891,5.93936322911002,74.6305040009361,75.290433248615,163.52553074088,161.666401573196,1069.73824763,1069.8311062072,962.847995586478,106.98311062072,951.899115908341,117.931990298857,10.9488796781372
"Dairy cattle",1998,4832.973,10,6.81237615,6.131138535,75.55138682,76.232624435,285.527957,282.257100395496,615.74162898,616.57984239771,554.921858157939,61.6579842397711,548.564968122335,68.0148742753748,6.35689003560378
"Non-dairy cattle",1998,10109.8195717,10,6.49742838,5.847685542,74.19027836,74.840021198,105.2025876,104.018331068481,453.99661865,453.251263809488,407.926137428539,45.3251263809487,403.334147786006,49.9171160234822,4.59198964253346
"Cattle",1999,14896.242286,10,6.60225831171601,5.94203248054441,74.6002139346453,75.2604397658169,162.995578152573,161.141088427264,1063.29276016,1063.25711283021,956.93140154719,106.325711283021,946.041881216758,117.215231613453,10.8895203304324
"Dairy cattle",1999,4765.136,10,6.81242453,6.131182077,75.54269781,76.223940263,285.6458901,282.373057283114,607.40268254,608.180763983734,547.362687585361,60.8180763983734,541.091193302557,67.0895706811772,6.27149428280381
"Non-dairy cattle",1999,10131.106286,10,6.50340725,5.853066525,74.15691942,74.807260145,105.3073652,104.119988970022,455.89007762,455.076348846477,409.56871396183,45.5076348846476,404.950687914201,50.1256609322763,4.61802604762869
"Cattle",2000,14538.6989997,10,6.60247899847169,5.94223109862452,74.5701435585448,75.2303914583919,164.342424503722,162.475478919041,1044.51711192,1044.54596842027,940.091371578243,104.454596842027,929.411157023593,115.134811396677,10.68021455465
"Dairy cattle",2000,4569.752,10,6.78234636,6.104111724,75.60115164,76.279386276,289.7087978,286.407968153639,588.10712447,588.927692053503,530.034922848153,58.8927692053503,523.995910570204,64.9317814832991,6.03901227794881
"Non-dairy cattle",2000,9968.9469997,10,6.52002804,5.868025236,74.09753083,74.749533634,106.8746463,105.664991255517,456.40998745,455.618276366767,410.05644873009,45.5618276366766,405.415246453389,50.2030299133777,4.64120227670111
"Cattle",2001,14603.7119996,10,6.59493696610215,5.93544326949193,74.5662454835152,75.2257391801254,166.565949865791,164.679889135353,1060.27253141,1060.40763935326,954.366875417938,106.040763935326,943.560627258977,116.847012094287,10.806248158961
"Dairy cattle",2001,4548.587,10,6.74220749,6.067986741,75.6776299,76.351850649,295.5874975,292.244774388232,593.63981284,594.555465837223,535.099919253501,59.4555465837224,529.048611663288,65.5068541739356,6.05130759021324
"Non-dairy cattle",2001,10055.1249996,10,6.52831693,5.875485237,74.06349403,74.716325723,108.2011126,106.973995002677,466.63271857,465.852173516041,419.266956164437,46.585217351604,414.512015595689,51.3401579203517,4.75494056874771
"Cattle",2002,13988.4979996,10,6.58749137164592,5.92874223448132,74.6399356439958,75.2986847811603,166.914646468804,165.029359800416,1016.61603275,1016.76955466947,915.092599202519,101.676955466946,904.756863750467,112.012690918998,10.3357354520521
"Dairy cattle",2002,4427.4,10,6.73202985,6.058826865,75.7052078,76.378410785,296.3848571,293.040060888014,578.50088333,579.400012702491,521.460011432242,57.940001270249,515.575171403617,63.8248412988744,5.88484002862538
