day,concentration.µg.ml,OD600_mean,sd_OD600,OD600_log_mean,sd_log_OD600
0,0,0.00833333333333333,0.00680685928555405,-2.18020250408026,0.365284265922685
0,1,0.00366666666666667,0.00305505046330389,-2.55926023508869,0.423722059739038
0,2,0.00433333333333333,0.00152752523165195,-2.38088916785625,0.151237604291255
0,5,0.004,0.004,-2.49828334056003,0.459830913860806
0,10,0.00933333333333333,0.0110151410945722,-2.25149577739528,0.53591894520622
0,20,0.00866666666666667,0.00611010092660779,-2.18428065621926,0.451682625857401
1,0,0.0306666666666667,0.0123423390543824,-1.54176276828658,0.201415637545841
1,1,0.0246666666666667,0.0196299091524473,-1.86212166760048,0.724731918727732
1,2,0.00433333333333333,0.0127410099024109,-2.57374879968239,0.73828873573732
1,5,-0.011,0.00793725393319377,-3,0
1,10,-0.0126666666666667,0.0045092497528229,-3,0
1,20,-0.0163333333333333,0.0115470053837925,-3,0
3,0,0.162,0.0510979451641649,-0.807609393114517,0.155501924708948
3,1,0.234333333333333,0.0470779495447002,-0.636599466145373,0.0936747512938663
3,2,0.0736666666666667,0.0483459753581757,-1.20487239546405,0.318386041049453
3,5,0.0583333333333333,0.101913361897905,-2.25149577739528,1.29644734323121
3,10,-0.0136666666666667,0.00461880215351701,-3,0
3,20,-0.0183333333333333,0.00986576572463249,-3,0
6,0,0.082,0.0242693221990232,-1.10054904403298,0.140919368116246
6,1,0.137,0.0536935750346352,-0.889787682841137,0.193767923331563
6,2,0.0733333333333333,0.0502924779001128,-1.26045315952872,0.464947805521708
6,5,0.002,0.00264575131106459,-2.64027291798413,0.317734326329499
6,10,-0.00833333333333333,0.00763762615825973,-3,0
6,20,-0.0103333333333333,0.00960902353693305,-3,0
7,0,0.0536666666666667,0.0225905584998099,-1.29987648496081,0.203277422771065
7,1,0.103666666666667,0.0468223593311287,-1.01963207342354,0.223791521010968
7,2,0.0643333333333333,0.0411015003781289,-1.29369692019545,0.412367866959412
7,5,-0.001,0.00173205080756888,-3,0
7,10,-0.0126666666666667,0.00776745346515403,-3,0
7,20,-0.013,0.00871779788708135,-3,0
8,0,0.0353333333333333,0.0186100331362771,-1.49528362184152,0.242839249875627
8,1,0.075,0.0385875627631495,-1.17153977676302,0.25851716739024
8,2,0.0523333333333333,0.039272551907577,-1.46828554932466,0.594655451908727
8,5,-0.007,0.002,-3,0
8,10,-0.0136666666666667,0.00808290376865476,-3,0
8,20,-0.0166666666666667,0.00838649708360608,-3,0
9,0,0.009,0.0149331845230681,-2.36930179910317,0.719879714025035
9,1,0.04,0.0341760149812701,-1.55326463998666,0.497985522715775
9,2,0.033,0.0255147016443461,-1.68282273648588,0.620683120981068
9,5,-0.0206666666666667,0.00351188458428425,-3,0
9,10,-0.027,0.00754983443527075,-3,0
9,20,-0.029,0.00871779788708135,-3,0
10,0,-0.00366666666666667,0.0136503968196288,-2.64027291798413,0.623065582909989
10,1,0.0176666666666667,0.0325934553757857,-2.12150541772836,0.86645873255361
10,2,0.0173333333333333,0.0258907963055085,-2.00014483725801,0.868598823775573
10,5,-0.0263333333333333,0.00305505046330389,-3,0
10,10,-0.0333333333333333,0.00723417813807023,-3,0
10,20,-0.0336666666666667,0.00838649708360608,-3,0
