culture,concentration.µg.ml,day,OD600,OD600_adj,OD600_adj_lg
AB2,1,10,0.204,0.204,-0.690369832574101
AB2,2,10,0.163,0.163,-0.787812395596042
AB2,5,10,0.091,0.091,-1.04095860767891
AB2,10,10,0.141,0.141,-0.85078088734462
AB2,20,10,-0.023,0.001,-3
AB3,0,10,0.12,0.12,-0.920818753952375
AB3,1,10,0.165,0.165,-0.782516055786094
AB3,2,10,0.175,0.175,-0.756961951313706
AB3,5,10,0.115,0.115,-0.939302159646388
AB3,10,10,0.1,0.1,-1
AB3,20,10,0.116,0.116,-0.935542010773082
AB1,0,11,0.082,0.082,-1.08618614761628
AB1,1,11,0.152,0.152,-0.818156412055228
AB1,2,11,0.066,0.066,-1.18045606445813
AB1,5,11,0.134,0.134,-0.872895201635192
AB1,10,11,0.109,0.109,-0.962573502059376
AB1,20,11,0.111,0.111,-0.954677021213343
AB2,0,11,0.095,0.095,-1.02227639471115
AB2,1,11,0.176,0.176,-0.75448733218585
AB2,2,11,0.148,0.148,-0.829738284605043
AB2,5,11,0.079,0.079,-1.10237290870956
AB2,10,11,0.117,0.117,-0.931814138253838
AB2,20,11,-0.002,0.001,-3
AB3,0,11,0.096,0.096,-1.01772876696043
AB3,1,11,0.142,0.142,-0.847711655616944
AB3,2,11,0.159,0.159,-0.798602875679548
AB3,5,11,0.091,0.091,-1.04095860767891
AB3,10,11,0.072,0.072,-1.14266750356873
AB3,20,11,0.13,0.13,-0.886056647693163
