day,concentration.µg.ml,OD600_mean,sd_OD600,OD600_log_mean,sd_log_OD600
0,0,0.00133333333333333,0.00416333199893227,-2.74061624987212,0.449265833879238
0,1,0.000666666666666667,0.00642910050732864,-2.69897000433602,0.521399247092252
0,2,-0.00166666666666667,0.00321455025366432,-2.89965666811201,0.173799749030751
0,5,0.013,0.0157162336455017,-2.12150541772836,0.769236298134986
0,10,0.006,0.00264575131106459,-2.25823023942471,0.231019242093115
0,20,0.00466666666666667,0.00305505046330389,-2.39794000867204,0.30102999566398
1,0,0.028,0.0262106848441623,-1.71458486640332,0.489899756881465
1,1,0.028,0.03104834939252,-1.93562513388185,0.939491851437931
1,2,0.024,0.0236431808350738,-1.89551820985786,0.71972412643079
1,5,0.0196666666666667,0.024214320831552,-1.98489234040445,0.880287784421265
1,10,-0.00266666666666667,0.00702376916856849,-2.79931333622401,0.347599498061501
1,20,-0.007,0.00264575131106459,-3,0
2,0,0.167666666666667,0.0318956632370818,-0.781271936813521,0.0881429622155718
2,1,0.274333333333333,0.187894473929739,-0.624536485883517,0.277814504514681
2,2,0.281333333333333,0.153754132735785,-0.594811711149283,0.240413877171825
2,5,0.058,0.0425323406362735,-1.39254524918615,0.528243755350121
2,10,-0.014,0.00264575131106459,-3,0
2,20,-0.0183333333333333,0.00472581562625261,-3,0
4,0,0.24,0.0242487113059643,-0.621332235277124,0.0453207581141152
4,1,0.338333333333333,0.0539289656245448,-0.474169400054259,0.0668613242588468
4,2,0.302,0.0995188424369978,-0.537759263782481,0.156692847937313
4,5,0.0693333333333333,0.0781302331580633,-1.60035604335593,0.981569736821422
4,10,-0.018,0.00346410161513776,-3,0
4,20,-0.017,0.00754983443527075,-3,0
7,0,0.191666666666667,0.0150443787951957,-0.718354267602974,0.0343447454122895
7,1,0.243333333333333,0.0234378611083293,-0.615103979761156,0.0409450478130429
7,2,0.201666666666667,0.0556087523087268,-0.707653516549005,0.129906282874892
7,5,0.134,0.0562938717801503,-0.906108783358367,0.220876810473565
7,10,0.0633333333333333,0.109024462086879,-1.9594800519375,1.15074405411188
7,20,-0.01,0.00721110255092798,-3,0
8,0,0.174666666666667,0.0120138808606267,-0.758473846925648,0.0298389971318812
8,1,0.224666666666667,0.0210792156716832,-0.649711286292249,0.040156158873646
8,2,0.181666666666667,0.0435009578438606,-0.750005489897144,0.112912642971837
8,5,0.174,0.0472863616701476,-0.770166449211046,0.118217281116121
8,10,0.106,0.0880851860416949,-1.22695631534788,0.713082550401224
8,20,-0.00533333333333333,0.00808290376865476,-2.89965666811201,0.173799749030751
9,0,0.155333333333333,0.0066583281184794,-0.809004252054653,0.0187688750332386
9,1,0.210333333333333,0.0198578280114753,-0.67834554605696,0.0401165773486465
9,2,0.17,0.046357307945997,-0.781854833129265,0.130661305732374
9,5,0.150666666666667,0.0402036482589993,-0.83233713057479,0.116274773152216
9,10,0.143333333333333,0.0615006775030433,-0.878128870654922,0.224863834876656
9,20,0.0103333333333333,0.0309892454463372,-2.25149577739528,0.831455717172049
10,0,0.118,0.0062449979983984,-0.928530221242107,0.0232699738673489
10,1,0.178666666666667,0.0219620885467055,-0.750056472404204,0.0517563142542457
10,2,0.144333333333333,0.0431431724996358,-0.855683580540299,0.145095870989243
10,5,0.123,0.0366606055596467,-0.922691054307113,0.12738798133427
10,10,0.126,0.0226053091109146,-0.904686773396071,0.0827798996383567
10,20,0.0796666666666667,0.0901683610438458,-1.59039638499622,1.2217739192113
11,0,0.091,0.00781024967590665,-1.04206376976262,0.0382786938143876
11,1,0.156666666666667,0.0174737898961082,-0.806785133286007,0.0476410863166637
11,2,0.124333333333333,0.0508166639335301,-0.936265741580907,0.212047255965271
11,5,0.101333333333333,0.0289194283023253,-1.00540890600789,0.118797476731206
11,10,0.0993333333333333,0.0240069434400411,-1.01235171462731,0.113899904525851
11,20,0.0796666666666667,0.0713605866941502,-1.6135778896355,1.20116688682138
