"culture","conc_µg_ml","day","OD600"
"Aza2","DMSO +",16,0.03
"Aza2","DMSO -",16,0.041
"Aza2","100",16,0.021
"Aza2","250",16,0.029
"Aza2","500",16,0.033
"Aza2","750",16,0.033
"Aza2","1000",16,0.027
"Aza2","+",19,0.044
"Aza2","DMSO +",19,-0.035
"Aza2","DMSO -",19,-0.028
"Aza2","100",19,-0.041
"Aza2","250",19,-0.035
"Aza2","500",19,-0.04
"Aza2","750",19,-0.032
"Aza2","1000",19,-0.045
"Aza3","+",0,0.044
"Aza3","DMSO +",0,0.045
"Aza3","DMSO -",0,0.034
"Aza3","100",0,0.045
"Aza3","250",0,0.046
"Aza3","500",0,0.05
"Aza3","750",0,0.056
"Aza3","1000",0,0.04
"Aza3","+",1,0.046
"Aza3","DMSO +",1,0.045
"Aza3","DMSO -",1,0.032
"Aza3","100",1,0.047
"Aza3","250",1,0.044
"Aza3","500",1,0.042
"Aza3","750",1,0.038
"Aza3","1000",1,0.038
"Aza3","+",2,0.05
"Aza3","DMSO +",2,0.306
"Aza3","DMSO -",2,0.031
"Aza3","100",2,0.038
"Aza3","250",2,0.038
"Aza3","500",2,0.034
"Aza3","750",2,0.036
"Aza3","1000",2,0.033
"Aza3","+",5,0.05
"Aza3","DMSO +",5,0.075
"Aza3","DMSO -",5,0.033
"Aza3","100",5,0.032
"Aza3","250",5,0.032
"Aza3","500",5,0.031
"Aza3","750",5,0.032
"Aza3","1000",5,0.042
"Aza3","+",6,0.046
"Aza3","DMSO +",6,0.059
"Aza3","DMSO -",6,0.033
"Aza3","100",6,0.028
"Aza3","250",6,0.032
"Aza3","500",6,0.036
"Aza3","750",6,0.028
"Aza3","1000",6,0.032
"Aza3","+",7,0.044
"Aza3","DMSO +",7,0.048
"Aza3","DMSO -",7,0.03
"Aza3","100",7,0.024
"Aza3","250",7,0.026
"Aza3","500",7,0.026
"Aza3","750",7,0.025
"Aza3","1000",7,0.048
"Aza3","+",8,0.048
"Aza3","DMSO +",8,0.042
"Aza3","DMSO -",8,0.023
"Aza3","100",8,0.019
"Aza3","250",8,0.024
"Aza3","500",8,0.023
"Aza3","750",8,0.019
"Aza3","1000",8,0.021
"Aza3","+",9,0.074
"Aza3","DMSO +",9,0.032
"Aza3","DMSO -",9,0.047
"Aza3","100",9,0.023
"Aza3","250",9,0.027
"Aza3","500",9,0.033
"Aza3","750",9,0.044
"Aza3","1000",9,0.037
"Aza3","+",12,0.151
"Aza3","DMSO +",12,0.05
"Aza3","DMSO -",12,0.036
"Aza3","100",12,0.029
"Aza3","250",12,0.027
"Aza3","500",12,0.026
"Aza3","750",12,0.033
"Aza3","1000",12,0.029
"Aza3","+",13,0.104
"Aza3","DMSO +",13,0.048
