culture,conc_µg_ml,day,OD600,OD600_adj,OD600_adj_lg
Aza2,1000,4,0.027,0.027,-1.56863623584101
Aza2,+,7,0.41,0.41,-0.387216143280265
Aza2,DMSO +,7,0.25,0.25,-0.602059991327962
Aza2,100,7,0.012,0.012,-1.92081875395238
Aza2,250,7,0.028,0.028,-1.55284196865778
Aza2,500,7,0.167,0.167,-0.777283528852417
Aza2,750,7,0.062,0.062,-1.20760831050175
Aza2,1000,7,0.044,0.044,-1.35654732351381
Aza2,+,8,0.387,0.387,-0.412289034981089
Aza2,DMSO +,8,0.241,0.241,-0.617982957425132
Aza2,100,8,0.025,0.025,-1.60205999132796
Aza2,250,8,0.051,0.051,-1.29242982390206
Aza2,500,8,0.202,0.202,-0.694648630553376
Aza2,750,8,0.094,0.094,-1.0268721464003
Aza2,1000,8,0.049,0.049,-1.30980391997149
Aza2,+,9,0.336,0.336,-0.473660722610156
Aza2,DMSO +,9,0.226,0.226,-0.645891560852599
Aza2,100,9,0.125,0.125,-0.903089986991944
Aza2,250,9,0.057,0.057,-1.24412514432751
Aza2,500,9,0.233,0.233,-0.632644078973981
Aza2,750,9,0.118,0.118,-0.928117992693875
Aza2,1000,9,0.044,0.044,-1.35654732351381
Aza2,+,10,0.371,0.371,-0.430626090384954
Aza2,DMSO +,10,0.221,0.221,-0.655607726314889
Aza2,100,10,0.47,0.47,-0.327902142064283
Aza2,250,10,0.051,0.051,-1.29242982390206
Aza2,500,10,0.251,0.251,-0.600326278518962
Aza2,750,10,0.106,0.106,-0.97469413473523
Aza2,1000,10,0.037,0.037,-1.43179827593301
Aza2,+,11,0.361,0.361,-0.442492798094342
Aza2,DMSO +,11,0.224,0.224,-0.649751981665837
Aza2,100,11,0.484,0.484,-0.315154638355588
Aza2,250,11,0.051,0.051,-1.29242982390206
Aza2,500,11,0.266,0.266,-0.575118363368933
Aza2,750,11,0.099,0.099,-1.00436480540245
Aza2,1000,11,0.034,0.034,-1.46852108295774
Aza2,+,14,0.33,0.33,-0.481486060122113
Aza2,DMSO +,14,0.218,0.218,-0.661543506395395
Aza2,100,14,0.414,0.414,-0.382999658879101
Aza2,250,14,0.261,0.261,-0.583359492661719
Aza2,500,14,0.351,0.351,-0.454692883534176
Aza2,750,14,0.098,0.098,-1.00877392430751
Aza2,1000,14,0.039,0.039,-1.4089353929735
Aza2,+,15,0.321,0.321,-0.493494967595128
Aza2,DMSO +,15,0.223,0.223,-0.651695136951839
Aza2,100,15,0.416,0.416,-0.380906669373257
Aza2,250,15,0.255,0.255,-0.593459819566045
Aza2,500,15,0.372,0.372,-0.429457060118103
Aza2,750,15,0.099,0.099,-1.00436480540245
Aza2,1000,15,0.04,0.04,-1.39794000867204
Aza3,+,0,0.047,0.047,-1.32790214206428
Aza3,DMSO +,0,0.045,0.045,-1.34678748622466
Aza3,100,0,0.044,0.044,-1.35654732351381
Aza3,250,0,0.04,0.04,-1.39794000867204
Aza3,500,0,0.042,0.042,-1.3767507096021
Aza3,750,0,0.04,0.04,-1.39794000867204
Aza3,1000,0,0.041,0.041,-1.38721614328026
Aza3,+,1,0.269,0.269,-0.570247719997592
Aza3,DMSO +,1,0.257,0.257,-0.590066876668705
Aza3,100,1,0.246,0.246,-0.609064892896621
Aza3,250,1,0.259,0.259,-0.586700235918748
Aza3,500,1,0.264,0.264,-0.578396073130169
Aza3,750,1,0.245,0.245,-0.610833915635468
Aza3,1000,1,0.261,0.261,-0.583359492661719
Aza3,+,2,0.191,0.191,-0.718966632752272
Aza3,DMSO +,2,0.155,0.155,-0.809668301829709
Aza3,100,2,0.073,0.073,-1.13667713987954
Aza3,250,2,0.089,0.089,-1.05060999335509
Aza3,500,2,0.073,0.073,-1.13667713987954
Aza3,750,2,0.075,0.075,-1.1249387366083
Aza3,1000,2,0.136,0.136,-0.866461091629783
Aza3,+,3,0.368,0.368,-0.434152181326482
Aza3,DMSO +,3,0.318,0.318,-0.497572880015567
Aza3,100,3,0.033,0.033,-1.48148606012211
Aza3,250,3,0.043,0.043,-1.36653154442041
Aza3,500,3,0.044,0.044,-1.35654732351381
Aza3,750,3,0.042,0.042,-1.3767507096021
Aza3,1000,3,0.046,0.046,-1.33724216831843
Aza3,+,4,0.319,0.319,-0.496209316942819
Aza3,DMSO +,4,0.431,0.431,-0.365522729839268
